Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
5/27/2018;188Bet;Bekantan;Football;Simple;sriwijaya;2.1;250;-250;-250;Perdu
5/27/2018;Asianodds;Blink18222;Football;Simple;FK Chernomorets Novorossiysk v Anzhi Makhachkala II (0-1) Over 1.5;2.38;200;-200;-200;Perdu
5/27/2018;Asianodds;Blink18222;Football;Simple;dynamo barnaul;1.97;200;394;194;Gagne
5/27/2018;Asianodds;Blink18222;Football;Simple;Over 0.5 HT : Potosi;2.02;200;404;204;Gagne
5/27/2018;Netbet;Blink18222;Football;Simple;Over 3.5 : Sao Jose dos Campos W;3.32;168;-168;-168;Perdu
5/27/2018;Asianodds;Blink18222;Football;Simple;Over 1.5 HT : Petrolul;1.91;200;-200;-200;Perdu
5/27/2018;Asianodds;Brucinger;Football;Simple;over3 : IK Oddevold - Lunds BK;1.71;300;-300;-300;Perdu
5/27/2018;Asianodds;Brucinger;Football;Simple;Cajamarca;1.97;300;-300;-300;Perdu
5/27/2018;188Bet;Brucinger;Football;Simple;Over 0.75 HT : Titanes;1.7;300;-300;-300;Perdu
5/27/2018;Asianodds;Brucinger;Football;Simple;Over 1.75 : Huachipato;1.93;300;-300;-300;Perdu
5/27/2018;Netbet;Garfield;Football;Simple;welco 4;1.84;103;0;0;Rembourse
5/27/2018;Netbet;Garfield;Football;Simple;welco 4.25;1.68;52;69.68;17.68;Moitie gagne
5/27/2018;Asianodds;Garfield;Football;Simple;leczna W;1.869;300;560.7;260.7;Gagne
5/27/2018;MarathonBet;Garfield;Football;Simple;tjk legion;1.76;300;528;228;Gagne
5/27/2018;Betway;Garfield;Football;Simple;paide II 0;1.84;268;493.12;225.12;Gagne
5/27/2018;MarathonBet;Garfield;Football;Simple;independenta baia mare over 7;1.87;111;207.57;96.57;Gagne
5/27/2018;MarathonBet;Garfield;Football;Simple;independenta baia mare W -5;1.89;78.4;148.18;69.78;Gagne
5/27/2018;MarathonBet;Garfield;Football;Simple;independenta baia mare W -4;1.85;29.41;54.41;25;Gagne
5/27/2018;MarathonBet;Garfield;Football;Simple;becicherecu w 1.5;1.76;133;-133;-133;Perdu
