Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
08/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Samuel gagne la course;7.11;6;-6;-6;Perdu
08/08/2018;PMU;Nico Grim;Athletisme;Simple;Husillos gagne la course (un peu Winamax);4.3;10;-10;-10;Perdu
08/08/2018;PMU;Nico Grim;Athletisme;Simple;Dutkiewicz gagne la course;4;10;-10;-10;Perdu
08/08/2018;Unibet;Nico Grim;Athletisme;Simple;Hugues gagne la course;2;25;50;25;Gagne
08/08/2018;PMU;Nico Grim;Athletisme;Simple;Hugues gagne la course;2.05;30;61.5;31.5;Gagne
08/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Tacazs gagne la course;4.51;10;-10;-10;Perdu
08/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Vicault gagne la course;3.71;20;-20;-20;Perdu
08/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Lesnoy devant Zuhic;1.819;20;36.38;16.38;Gagne
07/08/2018;Winamax;Nico Grim;Athletisme;Simple;Gina Luckenkemper gagne la course;15;3;-3;-3;Perdu
07/08/2018;Unibet;Nico Grim;Athletisme;Simple;Kambundji gagne la course;5.5;10;-10;-10;Perdu
07/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Ugen gagne le concours;4.53;10;-10;-10;Perdu
07/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Grovdal gagne la course;2.65;20;-20;-20;Perdu
07/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Sprunger gagne la course;2.42;30;72.6;42.6;Gagne
07/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Luckenkemper devant Zahi;1.55;20;31;11;Gagne
05/08/2018;10Bet;ADP Tipster;Auto-Moto;Simple;Bagnaia vainqueur;4;10;-10;-10;Perdu
05/08/2018;10Bet;ADP Tipster;Auto-Moto;Simple;Di Giannantonio vainqueur;7;10;70;60;Gagne
05/08/2018;10Bet;ADP Tipster;Auto-Moto;Simple;Marquez vainqueur;2.3;20;-20;-20;Perdu
05/08/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Martin vainqueur;2.05;25;0;0;Rembourse
05/08/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Binder vainqueur;14.5;5;-5;-5;Perdu
01/08/2018;Unibet;ADP Tipster;Autre sport;Simple;Humana-Paredes M / Pavan S gagne de 12 ou +;1.75;35;61.25;26.25;Gagne
31/07/2018;Bwin;ADP Tipster;Autre sport;Simple;Lahti/Parkkinen;1.91;20;38.2;18.2;Gagne
29/07/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Raikkonen meilleur tour en course;10;8;-8;-8;Perdu
29/07/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Ricciardo pole position;4.75;20;-20;-20;Perdu
29/07/2018;PMU;F1 Tipster;Auto-Moto;Simple;Ricciardo vainqueur;5;7;-7;-7;Perdu
29/07/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Les 2 ToroRosso dans les points;25;3;-3;-3;Perdu
29/07/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Raikkonen + Bottas podium;8;20;-20;-20;Perdu
29/07/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Red Bull Racing gagne la course;2.5;16;-16;-16;Perdu
29/07/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Ricciardo Podium;2.1;23;-23;-23;Perdu
29/07/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Bottas > Hamilton;4;15;-15;-15;Perdu
29/07/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Magnussen > Grosjean;2.13;30;-30;-30;Perdu
29/07/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Gasly top 10;4.5;20;90;70;Gagne
29/07/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Hartley top 10;8;10;-10;-10;Perdu
29/07/2018;10Bet;F1 Tipster;Auto-Moto;Simple;GP Hongrie 2018 Raikkonen podium;3;20;-20;-20;Perdu
22/07/2018;PMU;F1 Tipster;Auto-Moto;Simple;Nico Hulkenberg meilleur tour en course;60;3;-3;-3;Perdu
22/07/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Perez top 10;2;35;70;35;Gagne
22/07/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Alonso top 3 Q3;90;3;-3;-3;Perdu
22/07/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Stroll > Sirotkin;2.6;25;65;40;Gagne
22/07/2018;10Bet;F1 Tipster;Auto-Moto;Simple;GP Allemagne Stroll Top 10;14;5;-5;-5;Perdu
22/07/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Alonso top 6;7;13;-13;-13;Perdu
22/07/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Hamilton podium;2.3;25;57.5;32.5;Gagne
22/07/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Raikkonen v Vettel;5;10;50;40;Gagne
19/07/2018;Winamax;ADP Tipster;Autre sport;Simple;L.Fernandez / E.Baquerizo + S.Keizer / M.Meppelink;1.68;20;33.6;13.6;Gagne
17/07/2018;Betclic;ADP Tipster;Autre sport;Simple;Combo Beach-Volley W;1.96;30;-30;-30;Perdu
17/07/2018;ParionsSport;ADP Tipster;Autre sport;Simple;Over 70.5 points : Stubbe/VanIersel - Bonnerova/Nak;1.7;20;34;14;Gagne
17/07/2018;Winamax;ADP Tipster;Autre sport;Simple;Combo Beach-Volley W;1.96;15;-15;-15;Perdu
15/07/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Baldarassi podium;1.7;4;-4;-4;Perdu
15/07/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Baldarassi vainqueur (2x15e missclick);8;30;-30;-30;Perdu
15/07/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Oliveira vainqueur;8;15;-15;-15;Perdu
15/07/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Oliveira podium;2;4;-4;-4;Perdu
15/07/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Dovizioso podium;2.5;4;-4;-4;Perdu
10/07/2018;Betclic;ADP Tipster;Autre sport;Simple;Grimalt / Grimalt 2/0 + Gallay / Pereyra 2/0;1.98;25;-25;-25;Perdu
06/07/2018;Betclic;ADP Tipster;Autre sport;Simple;Combo Beach-Volley W;1.73;20;34.6;14.6;Gagne
05/07/2018;Betclic;ADP Tipster;Autre sport;Simple;Lima / Horta 2/0 + Hochevar / Claes 2/0;1.94;50;-50;-50;Perdu
01/07/2018;ZeBet;ADP Tipster;Auto-Moto;Simple;Francesco Bagnaia vainqueur;3.9;12.5;48.75;36.25;Gagne
01/07/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Rossi vainqueur;4.6;15;-15;-15;Perdu
01/07/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Baldarassi vainqueur;5.5;15;-15;-15;Perdu
01/07/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Fabio Di Giannantonio vainqueur;5.5;15;-15;-15;Perdu
01/07/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Marquez vainqueur;1.75;20;35;15;Gagne
01/07/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Marquez vainqueur;3;50;150;100;Gagne
01/07/2018;Betclic;ADP Tipster;Auto-Moto;Simple;Oliveira vainqueur;4.15;10;-10;-10;Perdu
01/07/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Canet vainqueur;6.25;10;-10;-10;Perdu
01/07/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Oliveira vainqueur;4.6;16.75;-16.75;-16.75;Perdu
29/06/2018;ZeBet;AntoSeti;Football;Simple;Croatia win vs Denmark;1.88;10;-10;-10;Perdu
